epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,327.429,0.76054,3.6527,0.52097,0.61497,1.17954,0.95773,0.92105,0.96852,0.72298,0.85419,0.77099,0.79758,0.42853,0.9378,3.21258,0.48918,0.68341,1.31331,0.0006734,0.0006734,0.0006734
69,331.423,0.79851,4.02024,0.52951,0.64716,1.21477,0.96925,0.92105,0.93794,0.69338,0.83043,0.78947,0.77485,0.38583,0.95845,3.49245,0.48975,0.72467,1.34114,0.0006536,0.0006536,0.0006536
70,335.568,0.77742,3.74841,0.51361,0.63769,1.21154,0.96401,0.92105,0.96171,0.73702,0.82614,0.78947,0.77432,0.41428,0.92843,3.38172,0.47337,0.71938,1.29815,0.0006338,0.0006338,0.0006338
71,339.487,0.76632,3.81578,0.52288,0.62579,1.21787,0.9047,0.99931,0.97546,0.73325,0.82286,0.76316,0.72045,0.38828,0.93499,3.3326,0.46832,0.59345,1.29589,0.000614,0.000614,0.000614
72,343.419,0.75237,3.75507,0.52942,0.62706,1.17553,0.92602,0.98829,0.97713,0.76676,0.80849,0.73684,0.70121,0.3506,0.80569,3.49234,0.48633,0.55809,1.18153,0.0005942,0.0005942,0.0005942
73,347.394,0.79452,3.86972,0.51931,0.62208,1.19153,0.94756,0.97368,0.98318,0.76699,0.8566,0.78608,0.76697,0.37143,0.82122,3.41437,0.48556,0.54863,1.21789,0.0005744,0.0005744,0.0005744
74,351.351,0.78701,3.76727,0.5209,0.62038,1.22549,0.94686,0.938,0.98284,0.75001,0.87614,0.81579,0.78946,0.40704,0.90389,3.14894,0.46221,0.53863,1.29968,0.0005546,0.0005546,0.0005546
75,355.27,0.76186,3.70233,0.51433,0.61386,1.19815,0.93912,0.94737,0.97747,0.77238,0.83005,0.78947,0.7441,0.41011,0.82743,3.21568,0.46962,0.5396,1.25163,0.0005348,0.0005348,0.0005348
76,359.559,0.77519,3.65393,0.52645,0.65264,1.21081,0.91699,1,0.97957,0.77704,0.85563,0.76316,0.71091,0.34126,0.78632,3.32515,0.48359,0.51677,1.23382,0.000515,0.000515,0.000515
77,363.516,0.74908,3.57578,0.51132,0.62283,1.15448,0.94669,1,0.97242,0.74555,0.87037,0.78947,0.7084,0.36557,0.84606,3.17552,0.47018,0.54293,1.25714,0.0004952,0.0004952,0.0004952
78,367.444,0.70396,3.63142,0.53687,0.57875,1.17264,0.94406,1,0.97331,0.77906,0.83554,0.76316,0.70509,0.39258,0.84963,3.18416,0.46456,0.54667,1.26868,0.0004754,0.0004754,0.0004754
79,371.441,0.75661,3.60254,0.51064,0.58863,1.18792,0.91909,0.97368,0.97748,0.77689,0.8856,0.81493,0.79252,0.40834,0.80256,3.06818,0.46711,0.52745,1.24327,0.0004556,0.0004556,0.0004556
80,375.679,0.73485,3.52655,0.50529,0.58592,1.1495,0.923,0.94633,0.97183,0.78285,0.88525,0.81215,0.80021,0.42788,0.76341,2.99755,0.46921,0.54038,1.1822,0.0004358,0.0004358,0.0004358
81,379.918,0.67604,3.54099,0.49762,0.57324,1.13474,0.94666,0.93428,0.97777,0.7952,0.88213,0.78947,0.77643,0.41977,0.79797,3.04489,0.47561,0.58867,1.18154,0.000416,0.000416,0.000416
82,384.449,0.6961,3.69557,0.5182,0.61798,1.19541,0.94589,1,0.98543,0.78492,0.84426,0.78947,0.78441,0.42418,0.8288,3.03208,0.47855,0.57532,1.22909,0.0003962,0.0003962,0.0003962
83,388.387,0.70463,3.50056,0.51361,0.58047,1.15222,0.93774,1,0.98314,0.7887,0.8687,0.78947,0.77677,0.4345,0.80485,2.9486,0.47182,0.53861,1.22477,0.0003764,0.0003764,0.0003764
84,392.656,0.68264,3.47876,0.50523,0.57509,1.16806,0.94856,0.97064,0.9675,0.7846,0.84477,0.76316,0.72908,0.44313,0.80213,2.88785,0.46305,0.52904,1.18343,0.0003566,0.0003566,0.0003566
85,396.947,0.67124,3.6054,0.52187,0.5325,1.12933,0.94323,0.94737,0.96819,0.7735,0.84673,0.76316,0.72769,0.44554,0.79426,2.8629,0.46128,0.5292,1.16987,0.0003368,0.0003368,0.0003368
86,400.874,0.70062,3.36547,0.51517,0.57679,1.1706,0.92468,0.96935,0.97572,0.79499,0.90795,0.81579,0.78653,0.47148,0.7749,2.83449,0.46409,0.54433,1.16892,0.000317,0.000317,0.000317
87,405.149,0.62368,3.42006,0.50958,0.54818,1.11841,0.92465,0.96886,0.97505,0.78497,0.87683,0.81579,0.81866,0.48401,0.77185,2.82217,0.46993,0.57237,1.18033,0.0002972,0.0002972,0.0002972
88,409.939,0.63602,3.46782,0.50704,0.5181,1.13961,0.92456,0.96764,0.98,0.79852,0.81722,0.84211,0.81659,0.50286,0.75658,2.7955,0.47239,0.53621,1.16312,0.0002774,0.0002774,0.0002774
